reportDate,cases,quaratined,hospitalized,recovered,deaths,population_number,population_density,ags,source
01-03-2020,4,3,1,0,0,1085664,2700,5315,Stadt Köln
02-03-2020,5,5,0,0,0,1085664,2700,5315,Stadt Köln
03-03-2020,6,6,0,0,0,1085664,2700,5315,Stadt Köln
04-03-2020,12,12,0,0,0,1085664,2700,5315,Stadt Köln
05-03-2020,15,15,0,0,0,1085664,2700,5315,Stadt Köln
06-03-2020,19,19,0,0,0,1085664,2700,5315,Stadt Köln
07-03-2020,29,27,1,1,0,1085664,2700,5315,Stadt Köln
08-03-2020,30,28,1,1,0,1085664,2700,5315,Stadt Köln
09-03-2020,33,31,1,1,0,1085664,2700,5315,Stadt Köln
10-03-2020,43,38,4,1,0,1085664,2700,5315,Stadt Köln
11-03-2020,54,48,5,1,0,1085664,2700,5315,Stadt Köln
12-03-2020,65,60,4,1,0,1085664,2700,5315,Stadt Köln
13-03-2020,123,117,5,1,0,1085664,2700,5315,Stadt Köln
14-03-2020,154,147,6,1,0,1085664,2700,5315,Stadt Köln
15-03-2020,244,234,7,3,0,1085664,2700,5315,Stadt Köln
16-03-2020,301,289,9,3,0,1085664,2700,5315,Stadt Köln
17-03-2020,384,372,8,3,1,1085664,2700,5315,Stadt Köln
18-03-2020,478,465,9,3,1,1085664,2700,5315,Stadt Köln
19-03-2020,586,565,9,11,1,1085664,2700,5315,Stadt Köln
20-03-2020,679,655,11,11,2,1085664,2700,5315,Stadt Köln
21-03-2020,773,739,18,14,2,1085664,2700,5315,Stadt Köln
22-03-2020,817,756,24,34,3,1085664,2700,5315,Stadt Köln
23-03-2020,857,733,30,91,3,1085664,2700,5315,Stadt Köln
24-03-2020,920,647,35,235,3,1085664,2700,5315,Stadt Köln
25-03-2020,1002,671,43,284,4,1085664,2700,5315,Stadt Köln
26-03-2020,1075,743,43,284,5,1085664,2700,5315,Stadt Köln
27-03-2020,1161,685,52,417,7,1085664,2700,5315,Stadt Köln
28-03-2020,1249,740,77,423,9,1085664,2700,5315,Stadt Köln
29-03-2020,1319,750,96,462,11,1085664,2700,5315,Stadt Köln
30-03-2020,1369,795,101,462,11,1085664,2700,5315,Stadt Köln
31-03-2020,1431,757,109,551,14,1085664,2700,5315,Stadt Köln
01-04-2020,1540,787,116,619,18,1085664,2700,5315,Stadt Köln
02-04-2020,1666,850,130,663,23,1085664,2700,5315,Stadt Köln
03-04-2020,1715,820,139,730,26,1085664,2700,5315,Stadt Köln
04-04-2020,1748,860,131,730,27,1085664,2700,5315,Stadt Köln
05-04-2020,1768,867,140,730,31,1085664,2700,5315,Stadt Köln
06-04-2020,1792,737,142,880,33,1085664,2700,5315,Stadt Köln
07-04-2020,1839,722,145,938,34,1085664,2700,5315,Stadt Köln
08-04-2020,1865,622,148,1017,38,1085664,2700,5315,Stadt Köln
09-04-2020,1947,684,139,1081,43,1085664,2700,5315,Stadt Köln
10-04-2020,1993,645,153,1151,44,1085664,2700,5315,Stadt Köln
11-04-2020,2016,635,149,1185,47,1085664,2700,5315,Stadt Köln
