stateCode,reportDate,source,cases,deaths,population_number,population_density
DE-DE,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1296,0,82176000,230
DE-DE,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1567,0,82176000,230
DE-DE,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),2369,0,82176000,230
DE-DE,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),3062,0,82176000,230
DE-DE,2020-03-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),3795,0,82176000,230
DE-DE,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),4838,0,82176000,230
DE-DE,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),6012,0,82176000,230
DE-DE,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),9348,24,82176000,230
DE-DE,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),12223,36,82176000,230
DE-DE,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),15240,43,82176000,230
DE-DE,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),19712,64,82176000,230
DE-DE,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),22101,81,82176000,230
DE-DE,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),24273,92,82176000,230
DE-DE,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),28942,122,82176000,230
DE-DE,2020-03-24,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),33856,144,82176000,230
DE-DE,2020-03-25,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),37949,181,82176000,230
DE-DE,2020-03-26,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),43938,261,82176000,230
DE-DE,2020-03-27,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),50871,351,82176000,230
DE-DE,2020-03-28,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),56517,423,82176000,230
DE-DE,2020-03-29,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),61164,490,82176000,230
DE-DE,2020-03-30,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),64950,597,82176000,230
DE-DE,2020-04-01,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),71571,746,82176000,230
DE-DE,2020-04-02,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),158822,1966,82176000,230
DE-DE,2020-04-03,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),90166,1206,82176000,230
DE-DE,2020-04-04,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),94870,1398,82176000,230
DE-DE,2020-04-05,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),99513,1521,82176000,230
DE-DE,2020-04-06,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),101122,1683,82176000,230
DE-DE,2020-04-07,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),103483,1823,82176000,230
DE-DE,2020-04-08,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),110355,2151,82176000,230
DE-DE,2020-04-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),118215,2579,82176000,230
DE-DE,2020-04-14,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),130162,3246,82176000,230
DE-DE,2020-04-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),133203,3622,82176000,230
DE-DE,2020-04-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),137780,4000,82176000,230
